Location_id,District Number,Borough,School Number
10814,25,Queens,024
10815,25,Queens,025
10816,25,Queens,029
10817,25,Queens,032
10818,25,Queens,079
10819,25,Queens,107
10820,25,Queens,120
10821,25,Queens,129
10822,25,Queens,130
10823,25,Queens,154
10824,25,Queens,163
10825,25,Queens,164
10826,25,Queens,165
10827,25,Queens,169
10828,25,Queens,184
10829,25,Queens,185
10830,25,Queens,189
10831,25,Queens,193
10832,25,Queens,194
10833,25,Queens,200
10834,25,Queens,201
10835,25,Queens,209
10836,25,Queens,214
10837,25,Queens,219
10838,25,Queens,237
10839,25,Queens,242
10840,25,Queens,244
10841,25,Queens,250
10842,25,Queens,252
10843,25,Queens,281
10844,25,Queens,285
10845,25,Queens,294
10846,25,Queens,379
10847,25,Queens,499
10848,26,Queens,018
10849,26,Queens,026
10850,26,Queens,031
10851,26,Queens,041
10852,26,Queens,046
10853,26,Queens,067
10854,26,Queens,074
10855,26,Queens,094
10856,26,Queens,098
10857,26,Queens,115
10858,26,Queens,133
10859,26,Queens,158
10860,26,Queens,159
10861,26,Queens,162
10862,26,Queens,172
10863,26,Queens,173
10864,26,Queens,178
10865,26,Queens,186
10866,26,Queens,188
10867,26,Queens,191
10868,26,Queens,203
10869,26,Queens,205
10870,26,Queens,213
10871,26,Queens,216
10872,26,Queens,221
10873,26,Queens,266
10874,26,Queens,376
10875,32,Brooklyn,376
10876,27,Queens,042
10877,27,Queens,043
10878,27,Queens,045
10879,27,Queens,047
10880,27,Queens,053
10881,27,Queens,056
10882,27,Queens,060
10883,27,Queens,062
10884,27,Queens,063
10885,27,Queens,064
10886,27,Queens,065
10887,27,Queens,066
10888,27,Queens,090
10889,27,Queens,096
10890,27,Queens,097
10891,27,Queens,100
10892,27,Queens,104
10893,27,Queens,105
10894,27,Queens,106
10895,27,Queens,108
10896,27,Queens,114
10897,27,Queens,123
10898,27,Queens,124
10899,27,Queens,137
10900,27,Queens,146
10901,27,Queens,155
10902,27,Queens,183
10903,27,Queens,197
10904,27,Queens,202
10905,27,Queens,207
10906,27,Queens,210
10907,27,Queens,223
10908,27,Queens,226
10909,27,Queens,232
10910,27,Queens,254
10911,27,Queens,262
10912,27,Queens,273
10913,27,Queens,282
10914,27,Queens,297
10915,27,Queens,306
10916,27,Queens,309
10917,27,Queens,316
10918,27,Queens,317
10919,27,Queens,318
10920,27,Queens,319
10921,27,Queens,323
10922,27,Queens,333
10923,27,Queens,362
10924,27,Queens,377
10925,28,Queens,008
10926,28,Queens,040
10927,28,Queens,048
10928,28,Queens,050
10929,28,Queens,054
10930,28,Queens,055
10931,28,Queens,072
10932,28,Queens,080
10933,28,Queens,082
10934,28,Queens,086
10935,28,Queens,099
10936,28,Queens,101
10937,28,Queens,117
10938,28,Queens,121
10939,28,Queens,139
10940,28,Queens,140
10941,28,Queens,144
10942,28,Queens,157
10943,28,Queens,160
10944,28,Queens,161
10945,28,Queens,167
10946,28,Queens,174
10947,28,Queens,175
10948,28,Queens,182
10949,28,Queens,190
10950,28,Queens,196
10951,28,Queens,206
10952,28,Queens,217
10953,28,Queens,220
10954,28,Queens,284
10955,28,Queens,287
10956,28,Queens,303
10957,28,Queens,310
10958,28,Queens,312
10959,28,Queens,332
10960,28,Queens,349
10961,28,Queens,354
10962,28,Queens,358
10963,28,Queens,680
10964,28,Queens,896
10965,29,Queens,015
10966,29,Queens,033
10967,29,Queens,034
10968,29,Queens,035
10969,29,Queens,036
10970,29,Queens,037
10971,29,Queens,038
10972,29,Queens,052
10973,29,Queens,059
10974,29,Queens,095
10975,29,Queens,109
10976,29,Queens,116
10977,29,Queens,118
10978,29,Queens,131
10979,29,Queens,132
10980,29,Queens,134
10981,29,Queens,135
10982,29,Queens,136
10983,29,Queens,138
10984,29,Queens,147
10985,29,Queens,156
10986,29,Queens,176
10987,29,Queens,181
10988,29,Queens,192
10989,29,Queens,195
10990,29,Queens,208
10991,29,Queens,238
10992,29,Queens,251
10993,29,Queens,259
10994,29,Queens,268
10995,29,Queens,270
10996,29,Queens,283
10997,29,Queens,289
10998,29,Queens,295
10999,29,Queens,327
11000,29,Queens,355
11001,29,Queens,356
11002,30,Queens,002
11003,30,Queens,010
11004,30,Queens,011
11005,30,Queens,017
11006,30,Queens,069
11007,30,Queens,070
11008,30,Queens,076
11009,30,Queens,078
11010,30,Queens,084
11011,30,Queens,085
11012,30,Queens,092
11013,30,Queens,111
11014,30,Queens,112
11015,30,Queens,122
11016,30,Queens,126
11017,30,Queens,127
11018,30,Queens,141
11019,30,Queens,145
11020,30,Queens,148
11021,30,Queens,149
11022,30,Queens,150
11023,30,Queens,151
11024,30,Queens,152
11025,30,Queens,166
11026,30,Queens,171
11027,30,Queens,204
11028,30,Queens,212
11029,30,Queens,227
11030,30,Queens,230
11031,30,Queens,234
11032,30,Queens,235
11033,30,Queens,280
11034,30,Queens,286
11035,30,Queens,291
11036,30,Queens,300
11037,30,Queens,329
11038,30,Queens,361
11039,30,Queens,384
11040,30,Queens,580
11041,31,Staten Island,001
11042,31,Staten Island,002
11043,31,Staten Island,003
11044,31,Staten Island,004
11045,31,Staten Island,005
11046,31,Staten Island,006
11047,31,Staten Island,007
11048,31,Staten Island,008
